# Super-large sets analysis (sets with size > 6754)
#set_id	chunk_id	basechunk_id
1	23361	3935
1	23369	21320
1	23381	17715
1	23387	17310
1	23394	17760
1	23399	23381
1	23418	8248
1	23424	11506
1	23489	9709
1	23496	23489
1	23631	19858
1	23635	23631
1	23690	5286
1	23694	14522
1	23697	23694
1	23701	23694
1	23705	10472
1	23709	23694
1	23713	23694
1	23717	23709
1	23720	23713
1	23731	23694
1	23735	23709
1	23739	17012
1	23848	20481
1	23852	23848
1	23861	9840
1	23869	20715
1	23924	18446
1	23928	2655
1	23934	16912
1	23939	23924
1	23943	23928
1	23947	23934
1	23951	23943
1	23955	23489
1	24107	4128
1	24121	12134
1	24130	11149
1	24134	24130
1	24416	13239
1	24421	13246
1	24498	23061
1	24502	23245
1	24515	19118
1	24524	14311
1	24532	24524
1	24536	18887
1	24670	21118
1	24675	9365
1	24681	9365
1	24691	24675
1	24696	9365
1	24703	11029
1	24709	24703
1	24714	24709
1	24836	3259
1	24911	19791
1	24995	12113
1	25006	24995
1	25119	23690
1	25185	11029
1	25192	25185
1	25249	5458
1	25254	3145
1	25289	11029
1	25294	13512
1	25311	10323
1	25316	10338
1	25326	5653
1	25329	3732
1	25333	14378
1	25403	8141
1	25408	14378
1	25429	4649
1	25433	25429
1	25436	25433
1	25442	21466
1	25446	13448
1	25449	13751
1	25452	10766
1	25538	25311
1	25683	9693
1	25736	21320
1	25829	20481
1	25833	9671
1	25838	25833
1	25844	25838
1	25850	9840
1	25857	25850
1	25862	25833
1	25867	25844
1	25872	19100
1	27186	4878
1	27311	18194
1	27426	18065
1	27432	9915
1	27483	5458
1	27495	17417
1	27507	17143
1	27511	14522
1	27517	10985
1	27773	19791
1	27793	18887
1	27901	27311
1	27904	14218
1	27913	14611
1	27918	27913
1	27956	11029
1	27962	11070
1	27967	27962
1	27989	10774
1	28006	4649
1	28009	4342
1	28020	19294
1	28154	25736
1	28305	8141
1	28312	8149
1	28316	8141
1	28350	27507
1	28356	17148
1	28373	11832
1	28380	28373
1	28393	14611
1	28456	17328
1	28589	19095
1	28599	11506
1	28681	12965
1	28686	28681
1	28690	28681
1	28701	28690
1	28706	28686
1	28710	28690
1	28715	28701
1	28720	28715
1	28730	28690
1	28735	28701
1	28740	28690
1	28749	28710
1	28757	28690
1	28764	28681
1	28768	28686
1	28773	28740
1	28777	28690
1	28782	28690
1	28787	28768
1	28792	28735
1	28797	28686
1	28801	25838
1	28812	28764
1	28819	28690
1	28824	28797
1	28867	20533
1	28871	4649
1	28876	28871
1	28880	28871
1	28911	4268
1	28916	3584
1	28920	28916
1	28924	28920
1	28975	25249
1	28981	9671
1	29004	25429
1	29015	8248
1	29183	3187
1	29187	19118
1	29248	20515
1	29253	29248
1	29408	18797
1	29623	14342
1	29632	14342
1	29640	18401
1	29646	14351
1	29677	12113
1	29681	12134
1	29686	12144
1	29689	29681
1	29694	29689
1	29698	29686
1	29707	17417
1	29710	16846
1	29713	29710
1	29716	29713
1	29719	29710
1	29728	29713
1	29734	29710
1	29754	29713
1	29761	29713
1	29768	29761
1	29778	9693
1	29801	25408
1	29819	21457
1	29826	27511
1	29830	29826
1	29834	18215
1	29842	29834
1	29848	29834
1	29852	29834
1	29856	22933
1	29860	20551
1	29868	23739
1	29888	14566
1	29894	8248
1	29945	5322
1	29955	6296
1	29966	3229
1	29975	3195
